symptom1,symptom2,symptom3,disease,remedies
fever,fever,fever,COVID-19,Isolation; Hydration; Doctor consultation
headache,nausea,headache,Pneumonia,Antibiotics; Hydration; Hospital care
headache,nausea,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
headache,nausea,chills,Asthma,Inhaler; Avoid triggers; Rest
headache,nausea,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,nausea,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,nausea,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,nausea,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,nausea,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,nausea,diarrhea,Gastroenteritis,ORS; Rest; Hydration
headache,nausea,none,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,vomiting,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,vomiting,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,vomiting,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,vomiting,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
headache,vomiting,chills,Asthma,Inhaler; Avoid triggers; Rest
headache,vomiting,sore throat,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,vomiting,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,vomiting,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,vomiting,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,vomiting,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,vomiting,diarrhea,Gastroenteritis,ORS; Rest; Hydration
headache,vomiting,none,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,diarrhea,fever,Gastroenteritis,ORS; Rest; Hydration
headache,diarrhea,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,diarrhea,headache,Typhoid,Antibiotics; Hydration; Consult doctor
headache,diarrhea,body pain,Typhoid,Antibiotics; Hydration; Consult doctor
headache,diarrhea,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,diarrhea,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,diarrhea,shortness of breath,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,diarrhea,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
headache,diarrhea,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
headache,diarrhea,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
headache,diarrhea,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,diarrhea,none,Flu,Bed rest; Hydration; Paracetamol
headache,none,fever,Asthma,Inhaler; Avoid triggers; Rest
headache,none,cough,Gastroenteritis,ORS; Rest; Hydration
headache,none,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,none,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,none,chills,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,none,sore throat,Flu,Bed rest; Hydration; Paracetamol
headache,none,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
headache,none,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,none,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,none,vomiting,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,none,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
headache,none,none,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,fever,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,fever,cough,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,fever,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,fever,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,fever,chills,Gastroenteritis,ORS; Rest; Hydration
body pain,fever,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,fever,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,fever,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,fever,nausea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,fever,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,fever,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,fever,none,Strep Throat,Antibiotics; Hydration; Rest
body pain,cough,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,cough,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,cough,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,cough,body pain,Gastroenteritis,ORS; Rest; Hydration
body pain,cough,chills,Asthma,Inhaler; Avoid triggers; Rest
body pain,cough,sore throat,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,cough,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,cough,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,cough,nausea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,cough,vomiting,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,cough,diarrhea,Flu,Bed rest; Hydration; Paracetamol
body pain,cough,none,Strep Throat,Antibiotics; Hydration; Rest
body pain,headache,fever,Flu,Bed rest; Hydration; Paracetamol
body pain,headache,cough,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,headache,headache,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,headache,body pain,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,headache,chills,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,headache,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,headache,shortness of breath,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,headache,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,headache,nausea,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,headache,vomiting,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,headache,diarrhea,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,headache,none,COVID-19,Isolation; Hydration; Doctor consultation
body pain,body pain,fever,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,body pain,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,body pain,headache,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,body pain,body pain,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,body pain,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,body pain,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,body pain,shortness of breath,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,body pain,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
body pain,body pain,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,body pain,vomiting,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,body pain,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,body pain,none,Flu,Bed rest; Hydration; Paracetamol
body pain,chills,fever,Gastroenteritis,ORS; Rest; Hydration
body pain,chills,cough,Gastroenteritis,ORS; Rest; Hydration
body pain,chills,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,chills,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,chills,chills,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,chills,sore throat,Gastroenteritis,ORS; Rest; Hydration
body pain,chills,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
body pain,chills,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,chills,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,chills,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,chills,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
body pain,chills,none,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,sore throat,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,sore throat,cough,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,sore throat,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,sore throat,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,sore throat,chills,Asthma,Inhaler; Avoid triggers; Rest
body pain,sore throat,sore throat,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,sore throat,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
body pain,sore throat,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,sore throat,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,sore throat,vomiting,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,sore throat,diarrhea,Gastroenteritis,ORS; Rest; Hydration
body pain,sore throat,none,Strep Throat,Antibiotics; Hydration; Rest
body pain,shortness of breath,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,shortness of breath,cough,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,shortness of breath,headache,COVID-19,Isolation; Hydration; Doctor consultation
body pain,shortness of breath,body pain,COVID-19,Isolation; Hydration; Doctor consultation
body pain,shortness of breath,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,shortness of breath,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,shortness of breath,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,shortness of breath,fatigue,Asthma,Inhaler; Avoid triggers; Rest
body pain,shortness of breath,nausea,COVID-19,Isolation; Hydration; Doctor consultation
body pain,shortness of breath,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,shortness of breath,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,shortness of breath,none,Gastroenteritis,ORS; Rest; Hydration
body pain,fatigue,fever,Strep Throat,Antibiotics; Hydration; Rest
body pain,fatigue,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,fatigue,headache,Gastroenteritis,ORS; Rest; Hydration
body pain,fatigue,body pain,Gastroenteritis,ORS; Rest; Hydration
body pain,fatigue,chills,COVID-19,Isolation; Hydration; Doctor consultation
body pain,fatigue,sore throat,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,fatigue,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,fatigue,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,fatigue,nausea,Gastroenteritis,ORS; Rest; Hydration
body pain,fatigue,vomiting,Flu,Bed rest; Hydration; Paracetamol
body pain,fatigue,diarrhea,Flu,Bed rest; Hydration; Paracetamol
body pain,fatigue,none,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,nausea,fever,Gastroenteritis,ORS; Rest; Hydration
body pain,nausea,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,nausea,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,nausea,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,nausea,chills,Strep Throat,Antibiotics; Hydration; Rest
body pain,nausea,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,nausea,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,nausea,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
body pain,nausea,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,nausea,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,nausea,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,nausea,none,Asthma,Inhaler; Avoid triggers; Rest
body pain,vomiting,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,vomiting,cough,COVID-19,Isolation; Hydration; Doctor consultation
body pain,vomiting,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,vomiting,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,vomiting,chills,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,vomiting,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
body pain,vomiting,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
body pain,vomiting,fatigue,Food Poisoning,IV fluids; Rest; Electrolytes
body pain,vomiting,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,vomiting,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,vomiting,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
body pain,vomiting,none,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,diarrhea,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
body pain,diarrhea,cough,Strep Throat,Antibiotics; Hydration; Rest
body pain,diarrhea,headache,Asthma,Inhaler; Avoid triggers; Rest
body pain,diarrhea,body pain,Asthma,Inhaler; Avoid triggers; Rest
body pain,diarrhea,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
body pain,diarrhea,sore throat,Strep Throat,Antibiotics; Hydration; Rest
body pain,diarrhea,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
body pain,diarrhea,fatigue,Flu,Bed rest; Hydration; Paracetamol
body pain,diarrhea,nausea,Asthma,Inhaler; Avoid triggers; Rest
body pain,diarrhea,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
body pain,diarrhea,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
body pain,diarrhea,none,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,none,fever,Strep Throat,Antibiotics; Hydration; Rest
body pain,none,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,none,headache,Gastroenteritis,ORS; Rest; Hydration
body pain,none,body pain,Gastroenteritis,ORS; Rest; Hydration
body pain,none,chills,COVID-19,Isolation; Hydration; Doctor consultation
body pain,none,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
body pain,none,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
body pain,none,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
body pain,none,nausea,Gastroenteritis,ORS; Rest; Hydration
body pain,none,vomiting,Flu,Bed rest; Hydration; Paracetamol
body pain,none,diarrhea,Flu,Bed rest; Hydration; Paracetamol
body pain,none,none,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,fever,fever,Food Poisoning,IV fluids; Rest; Electrolytes
chills,fever,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,fever,headache,Flu,Bed rest; Hydration; Paracetamol
chills,fever,body pain,Flu,Bed rest; Hydration; Paracetamol
chills,fever,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,fever,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,fever,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,fever,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
chills,fever,nausea,Gastroenteritis,ORS; Rest; Hydration
chills,fever,vomiting,Flu,Bed rest; Hydration; Paracetamol
chills,fever,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
chills,fever,none,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,cough,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,cough,cough,Food Poisoning,IV fluids; Rest; Electrolytes
chills,cough,headache,COVID-19,Isolation; Hydration; Doctor consultation
chills,cough,body pain,COVID-19,Isolation; Hydration; Doctor consultation
chills,cough,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,cough,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,cough,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
chills,cough,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
chills,cough,nausea,COVID-19,Isolation; Hydration; Doctor consultation
chills,cough,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
chills,cough,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,cough,none,Gastroenteritis,ORS; Rest; Hydration
chills,headache,fever,Food Poisoning,IV fluids; Rest; Electrolytes
chills,headache,cough,Strep Throat,Antibiotics; Hydration; Rest
chills,headache,headache,Flu,Bed rest; Hydration; Paracetamol
chills,headache,body pain,Asthma,Inhaler; Avoid triggers; Rest
chills,headache,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,headache,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
chills,headache,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
chills,headache,fatigue,Flu,Bed rest; Hydration; Paracetamol
chills,headache,nausea,Gastroenteritis,ORS; Rest; Hydration
chills,headache,vomiting,Asthma,Inhaler; Avoid triggers; Rest
chills,headache,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
chills,headache,none,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,body pain,fever,Typhoid,Antibiotics; Hydration; Consult doctor
chills,body pain,cough,Asthma,Inhaler; Avoid triggers; Rest
chills,body pain,headache,Food Poisoning,IV fluids; Rest; Electrolytes
chills,body pain,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
chills,body pain,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,body pain,sore throat,Asthma,Inhaler; Avoid triggers; Rest
chills,body pain,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
chills,body pain,fatigue,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,body pain,nausea,Strep Throat,Antibiotics; Hydration; Rest
chills,body pain,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
chills,body pain,diarrhea,Food Poisoning,IV fluids; Rest; Electrolytes
chills,body pain,none,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,chills,fever,Gastroenteritis,ORS; Rest; Hydration
chills,chills,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,chills,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,chills,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,chills,chills,Food Poisoning,IV fluids; Rest; Electrolytes
chills,chills,sore throat,Gastroenteritis,ORS; Rest; Hydration
chills,chills,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,chills,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
chills,chills,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,chills,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,chills,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
chills,chills,none,Asthma,Inhaler; Avoid triggers; Rest
chills,sore throat,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,sore throat,cough,COVID-19,Isolation; Hydration; Doctor consultation
chills,sore throat,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,sore throat,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,sore throat,chills,Gastroenteritis,ORS; Rest; Hydration
chills,sore throat,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
chills,sore throat,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
chills,sore throat,fatigue,Food Poisoning,IV fluids; Rest; Electrolytes
chills,sore throat,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,sore throat,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,sore throat,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,sore throat,none,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,shortness of breath,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,shortness of breath,cough,Strep Throat,Antibiotics; Hydration; Rest
chills,shortness of breath,headache,COVID-19,Isolation; Hydration; Doctor consultation
chills,shortness of breath,body pain,COVID-19,Isolation; Hydration; Doctor consultation
chills,shortness of breath,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,shortness of breath,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
chills,shortness of breath,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
chills,shortness of breath,fatigue,Flu,Bed rest; Hydration; Paracetamol
chills,shortness of breath,nausea,Flu,Bed rest; Hydration; Paracetamol
chills,shortness of breath,vomiting,Asthma,Inhaler; Avoid triggers; Rest
chills,shortness of breath,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
chills,shortness of breath,none,Pneumonia,Antibiotics; Hydration; Hospital care
chills,fatigue,fever,Gastroenteritis,ORS; Rest; Hydration
chills,fatigue,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,fatigue,headache,Typhoid,Antibiotics; Hydration; Consult doctor
chills,fatigue,body pain,Typhoid,Antibiotics; Hydration; Consult doctor
chills,fatigue,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,fatigue,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
chills,fatigue,shortness of breath,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,fatigue,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
chills,fatigue,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
chills,fatigue,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,fatigue,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,fatigue,none,Flu,Bed rest; Hydration; Paracetamol
chills,nausea,fever,COVID-19,Isolation; Hydration; Doctor consultation
chills,nausea,cough,Gastroenteritis,ORS; Rest; Hydration
chills,nausea,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,nausea,body pain,Strep Throat,Antibiotics; Hydration; Rest
chills,nausea,chills,Pneumonia,Antibiotics; Hydration; Hospital care
chills,nausea,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
chills,nausea,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
chills,nausea,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,nausea,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,nausea,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
chills,nausea,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,nausea,none,Typhoid,Antibiotics; Hydration; Consult doctor
chills,vomiting,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
chills,vomiting,cough,Asthma,Inhaler; Avoid triggers; Rest
chills,vomiting,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,vomiting,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,vomiting,chills,Pneumonia,Antibiotics; Hydration; Hospital care
chills,vomiting,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
chills,vomiting,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
chills,vomiting,fatigue,Strep Throat,Antibiotics; Hydration; Rest
chills,vomiting,nausea,Strep Throat,Antibiotics; Hydration; Rest
chills,vomiting,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
chills,vomiting,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,vomiting,none,Bronchitis,Honey; Ginger tea; Steam inhalation
chills,diarrhea,fever,Strep Throat,Antibiotics; Hydration; Rest
chills,diarrhea,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,diarrhea,headache,Gastroenteritis,ORS; Rest; Hydration
chills,diarrhea,body pain,Gastroenteritis,ORS; Rest; Hydration
chills,diarrhea,chills,Typhoid,Antibiotics; Hydration; Consult doctor
chills,diarrhea,sore throat,Strep Throat,Antibiotics; Hydration; Rest
chills,diarrhea,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
chills,diarrhea,fatigue,Gastroenteritis,ORS; Rest; Hydration
chills,diarrhea,nausea,Gastroenteritis,ORS; Rest; Hydration
chills,diarrhea,vomiting,Flu,Bed rest; Hydration; Paracetamol
chills,diarrhea,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
chills,diarrhea,none,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,none,fever,Typhoid,Antibiotics; Hydration; Consult doctor
chills,none,cough,Asthma,Inhaler; Avoid triggers; Rest
chills,none,headache,Food Poisoning,IV fluids; Rest; Electrolytes
chills,none,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
chills,none,chills,Pneumonia,Antibiotics; Hydration; Hospital care
chills,none,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
chills,none,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
chills,none,fatigue,Strep Throat,Antibiotics; Hydration; Rest
chills,none,nausea,Strep Throat,Antibiotics; Hydration; Rest
chills,none,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
chills,none,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
chills,none,none,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,fever,fever,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,fever,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,fever,headache,Flu,Bed rest; Hydration; Paracetamol
sore throat,fever,body pain,Flu,Bed rest; Hydration; Paracetamol
sore throat,fever,chills,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,fever,sore throat,Strep Throat,Antibiotics; Hydration; Rest
sore throat,fever,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,fever,fatigue,Gastroenteritis,ORS; Rest; Hydration
sore throat,fever,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,fever,vomiting,Flu,Bed rest; Hydration; Paracetamol
sore throat,fever,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
sore throat,fever,none,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,cough,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,cough,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,cough,headache,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,cough,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,cough,chills,Asthma,Inhaler; Avoid triggers; Rest
sore throat,cough,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,cough,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,cough,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,cough,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,cough,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,cough,diarrhea,Gastroenteritis,ORS; Rest; Hydration
sore throat,cough,none,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,headache,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,headache,cough,Asthma,Inhaler; Avoid triggers; Rest
sore throat,headache,headache,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,headache,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,headache,chills,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,headache,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,headache,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
sore throat,headache,fatigue,Strep Throat,Antibiotics; Hydration; Rest
sore throat,headache,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,headache,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,headache,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,headache,none,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,body pain,fever,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,body pain,cough,Asthma,Inhaler; Avoid triggers; Rest
sore throat,body pain,headache,Strep Throat,Antibiotics; Hydration; Rest
sore throat,body pain,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,body pain,chills,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,body pain,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,body pain,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
sore throat,body pain,fatigue,Strep Throat,Antibiotics; Hydration; Rest
sore throat,body pain,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,body pain,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
